歌曲名,时长,作者,专辑
Duvet,3:23,Bôa,Twilight
sun and moon,2:31,Anees,sun and moon
Shut up My Moms Calling,2:44,Hotel Ugly,Shut up My Moms Calling
voice memo 6: changes,3:29,XXXTENTACION,? (Deluxe)
cough drops,2:43,almost monday,cough drops
careless,2:6,Arden Jones,age tape 9
putting a spin on low,3:17,Egg,putting a spin on low
putting a spin on sunflower,2:19,Egg,putting a spin on sunflower
Mr. Forgettable,3:7,David Kushner,Best Hiking Songs Ever!
谪仙 (抖音DJ版)（翻自 叶里）,4:49,陌雪,谪仙dj名龙mix 谪仙抖音dj
Ed Sheeran-莹のしずく（SmallHi remix）,2:46,小嗨总,Dj SmallHi Remix
ハートビート（恋途未卜）,4:49,wungu lan klein,ハートビート（恋途未卜）
Radioactive,3:8,Imagine Dragons,Continued Silence EP
Teenage Mona Lisa (feat. Aiden Adair),3:18,Alfie Castley,Teenage Mona Lisa (feat. Aiden Adair)
"Running Up That Hill (from ""Stranger Things"") (Epic Version) (Cover)",3:32,Samuel Kim,"Running Up That Hill (from ""Stranger Things"") (Epic Version) (Cover)"
Running Up That Hill (A Deal With God),4:58,Kate Bush,Hounds Of Love
めんどくさいのうた,5:36,関取花,朝
HEARTBREAK ANNIVERSARY,3:16,Giveon,HEARTBREAK ANNIVERSARY
10月のあなた,4:14,関取花,中くらいの話
Limitless (feat. Sophie Rose),3:30,SAM F,Limitless (feat. Sophie Rose)
Empire State Of Mind,4:36,JAY-Z,NRJ Hit Music Only!2010
Happiest Year,3:48,Jaymes Young,Happiest Year
Healing Song (Acoustic),3:26,Lune,Healing Song (Acoustic)
Take a Walk (Instrumental),4:21,Cover Pop,Take a Walk (Tribute to Passion Pit) [Karaoke Audio Version]
Take a Walk (A Cappella),4:10,AaronicStuff,Take a Walk (A Cappella)
i can't,2:33,pink glass,i can't
we fell in love in october,3:4,girl in red,we fell in love in october / forget her
There Is Nothing Holding Me Back (Novalight Remix),3:52,Novalight,There Is Nothing Holding Me Back (Novalight Remix)
Mark (Shahmen Remix),3:4,Shahmen,All In The Circle
Wake,4:13,Capitol Kids!,Capitol Kids! Worship
Trophies,3:8,Drake,Trophies
Chicago Freestyle,3:40,Drake,Dark Lane Demo Tapes
Fearless Pt. II,3:14,Lost Sky,Fearless Pt. II
Boss Bitch,2:14,Doja Cat,Boss *****
Silver City,3:52,MYRNE,Silver City / Release Me
sex money feelings die,2:19,Lykke Li,so sad so sexy
Second Date,2:27,Josh Fudge,Second Date
Empire (Instrumental),5:16,Voicians,Empire
Flowers,3:18,Dirty Palm,"Candy Pop Hits, Pop Food, Pop!, Pop City Hits, Pop Town, Pop News, Pop Cult, Pop Snacks, Pop Twist, Pop Couch, Pop House Tunes"
EM ƠI CỨ VUI,3:19,Touliver,EM ƠI CỨ VUI
"Me, Myself & I",4:11,G-Eazy,When It's Dark Out (Deluxe Edition)
Forevermore,2:22,Katie Herzig,Live In Studio: Acoustic Trio
I Won't Lie,2:42,Krimsonn,I Won't Lie
Hey Mamma (Radio Edit),2:59,Sunstroke Project,Hey Mamma
Perfect,4:17,Boyce Avenue,"Cover Sessions, Vol. 4"
Go  **** Yourself,2:9,Two Feet,First Steps
Swamp Thing,4:23,Pegboard Nerds,Swamp Thing
No Matter What,2:32,Bougenvilla,No Matter What
idontwannabeyouanymore (cover),3:17,Lewis Blissett,
How to Carry On,3:22,Wildflowers,I Won't Waste This
Lordly (Instrumental Mix),4:33,Feder,Lordly (feat. Alex Aiono) [Remix EP]
Walk Thru Fire,3:14,Vicetone,Monstercat - Best of 2018
Just the Same,3:31,Charlotte Lawrence,Just the Same
Temple,4:55,Zerky,Temple
Trouble (Mike Williams Remix),3:36,R3HAB,Trouble (Mike Williams Remix)
Hey (Radio Edit),3:35,Fais,Hey (Radio Edit)
date with the stars,2:0,emka,date with the stars
Enemy (from the series Arcane League of Legends),2:53,Imagine Dragons,Enemy (from the series Arcane League of Legends)
PYRO,2:28,Chester Young,PYRO
C U Again (Cartoon vs Futuristik VIP),3:22,Cartoon,NCS: The Best of 2016
Lorraine,1:53,Big Thief,Masterpiece
インドア系ならトラックメイカー,3:17,Yunomi,インドア系ならトラックメイカー
インタビュア,4:13,H△G,声 ~VOCALOID Cover Album~
灯火,3:38,優河,言葉のない夜に
恋愛サーキュレーション,4:13,花澤香菜,恋愛サーキュレーション & あとがたり
ふでペン 〜ボールペン〜（ゆいあずVer.,3:49,豊崎愛生,K-ON!! ORIGINAL SOUND TRACK Vol.2
ふわふわ時間,3:59,桜高軽音部,ふわふわ時間
Ref꞉rain,5:15,Aimer,"Aimer special concert with スロヴァキア国立放送交響楽団 ""ARIA STRINGS"""
無能,3:40,österreich,無能
Brass,3:2,Dirty Rush & Gregor Es,Brass
Summertime Sadness,4:24,Lana Del Rey,Summertime Sadness
Fractures (EFL117) [Track Of The Week],3:57,Nevve,Electric For Life Episode 117
20,3:24,朱彦安,20
我们最遗憾的+Shots(Broiler Remix),3:6,二狗村高富帅,Apple
Lordly (feat. Alex Aiono) [MDZN Remix],4:37,Alex Aiono,Lordly (feat. Alex Aiono) [Remix EP]
We Can Be Together,4:12,XYPO,We Can Be Together
Flowers,3:18,Dirty Palm,Flowers
Producer Man,2:21,Lyn Lapid,Producer Man
Lost,2:1,Shiloh Dynasty,Who Are You?
Rise,3:14,Jonas Blue,Rise
Lock Me Up,3:31,The Cab,Lock Me Up EP
Kingdom Hearts • Xion's Theme,2:26,Jenny,Kingdom Hearts • Xion's Theme
Mystery of Love,4:8,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack)
"i'm tired, i'm exhausted",2:22,hateful,"i'm tired, i'm exhausted"
Exile,4:25,Josh Rabenold,Exile
樱不及落,2:15,999NOReason,樱不及落
Ꮮ Ꮺ Ꮙ Ꭼ,2:57,ADG,L O V E
秋,6:2,FLOWER FLOWER,色
Blah Blah Blah (Bassjackers Remix),3:16,Bassjackers,Blah Blah Blah (Remixes)
私じゃなかったんだね,4:4,りりあ。,私じゃなかったんだね。
Ma direction,4:23,Sexion d'Assaut,Best of
爱是雪地里写诗,5:21,雾江月,冬
氷の舟が行くところ,4:35,能登麻美子,時のしおり
Tony Igy-Astronomia（Jiaye remix）,3:43,Jiaye,Astronomia (Jiaye Bootleg)
WILLOW-Wait a Minute!(抖音版)（小晨GG Remix）,0:32,陈嘉楠,Wait a Minute!
Italian Coffee Shop,4:56,3Nacria,Italian Coffee Shop
Oblivion,3:31,TheFatRat,Oblivion
リナリア,5:14,日向文,他人言
Сука блядь,3:2,DJ Blyatman,Cyka Blyat
us,2:10,4oot,us
好きだから。 (Piano ver.),5:11,『ユイカ』,そばにいて。
midnight love,3:13,girl in red,midnight love
A Thousand Years,4:45,Christina Perri,The Twilight Saga Forever Love Songs
You Are Beautiful,3:33,James Blunt,BIGGER
Dear Mr 「F」,5:26,ずっと真夜中でいいのに。,潜潜話
想い想われ,4:38,福原希己江,よりそうものたち
La La Lost You (Acoustic Version),3:28,88rising,NIKI Acoustic Sessions: Head In The Clouds II
Umbrella (Matte Remix),4:45,Matte,Umbrella (Matte Remix)
Move Up (Lost Gravity),3:4,Mr. Polska,Ibiza 2016
S.S.S.,3:21,佐藤千亜妃,S.S.S.
"Don't say ""lazy""",4:23,桜高軽音部,"Don't say ""lazy"""
Alica,3:42,Norhye,The Reload
Homage,2:57,Mild High Club,Skiptracing
Tribute (Dj Fernando Lopez Radio Edit),3:33,Lorenzo Ballerini Dj,Tribute
踊り子,3:50,Vaundy,踊り子
リセットボタン,4:43,こはならむ,リセットボタン
ネリヤカナヤ ～美ら奄美～,5:53,ReoNa,ネリヤカナヤ ～美ら奄美～
Touch The Sky,2:35,Digital Farm Animals,WeArmada 2018
Gangsta Walk,4:51,Illusionize,Gangsta Walk
Shoby-Emile Sande-Read All About It（陈一泽 remix）,2:41,沐泽,Emile Sande-Read All About It
Dependent,3:5,еяхат музыка,Dependent (Alex Mako & Md Dj Remix)
Ten years later,2:14,minicat,Ten years later
Out of Time (feat. Eric Lumiere) [Sagan Remix],3:20,Shane 54,Out of Time (feat. Eric Lumiere) [Sagan Remix]
Lolita,3:20,Voxlight,Lolita
Tribute (Original Mix),3:43,Lorenzo Ballerini Dj,Tribute (Original Mix)
despair,3:58,LookedatHerFore,April
Booyah,5:12,Showtek,Booyah
夜班车(「First Date俩少无猜」allenvee Bootleg),3:14,allenvee,夜班车.(summer night in nanning)
Anesthesia,3:42,Vexento,Anesthesia
RIP,1:56,Croosh,RIP
Up Up and Away,3:17,xxxtention,Up Up and Away
Pump It Up (Pit Bailay Mix),5:54,Glamrock Brothers,Pump It Up
宝石,9:38,別野加奈,forget me not
すずめ feat.十明,3:58,RADWIMPS,すずめの戸締まり
のすたるぢやの青い猫,4:6,能登麻美子,時のしおり
The Other Side Of Paradise,5:20,Glass Animals,New Era Rock
Glass Animals-The Other Side Of Paradise(Remix),3:45,05L.,MAX
Edge of My Life,3:33,Manafest,Edge of My Life
Riverside 2099,3:54,Oliver Heldens,Riverside 2099
Hit Fluffy (Pokemon Go!) (Extended),4:26,Teddme,Hit Fluffy (Pokemon Go!) (Extended)
crevasse,3:49,Chouchou,oort
Kiss Me More,3:28,Doja Cat,Kiss Me More
Mask Off Aesthetic(铃铛版),2:9,iozioz,晓
Mask Off Aesthetic,2:19,trapwithwest,Mask Off Aesthetic
Lay It Down,3:8,steelix,Lay It Down
MEMORIES!,2:17,347aidan,TROUBLED MEMORIES!
JIEBOSS-Car.3（JIEBOSS remix）,2:54,JIEBOSS,车载曲目
Bauklotze,3:56,澤野弘之,「進撃の巨人」オリジナルサウンドトラック
はじめ,6:16,関取花,THE
Episode 33,4:17,She Her Her Hers,SPIRAL
Dancin (Krono Remix),3:17,Aaron Smith,DANCIN (KRONO REMIX)
Touch The Sky,2:35,Cedric Gervais,Armada Music Top 100 (Mini Mix 001)
衝撃,3:1,安藤裕子,衝撃
布鲁克的心跳,2:10,吴言XMLY,布鲁克的心跳
My Favorite Song,3:8,Skyler Stonestreet,You.
JIEBOSS-Prelude.1（JIEBOSS remix）,4:41,JIEBOSS,Car Bass
rainy road,4:0,CHINESE,Rainy road
Kataware Doki but is it okay if it's lofi?,3:12,Kijugo,Kataware Doki but is it okay if it's lofi?
Boomerang,3:15,Brooks,Boomerang
Summertime Sadness (Behmer Bootleg),3:18,Behmer,Summertime Sadness (Behmer Bootleg)
雪の華,5:41,中島美嘉,雪の華
三浦透子-グランドエスケープ（TSAR remix）,3:40,TSAR,天気の子
Heist,3:2,Noisestorm,Heist
Animals,2:22,Martin Garrix,Hardwell Presents Revealed Volume 4
Anything Goes! (「仮面ライダーオーズ/000」),3:31,大黒摩季,KAMEN RIDER BEST 2000-2011
永世のクレイドル,4:32,鈴華ゆう子,CRADLE OF ETERNITY
Forever,2:58,DuGong,Forever
winter.,1:54,VESK GREEN 青菜,winter.
ビンクスの酒 (BONUS TRACK),3:19,田中真弓,ONE PIECE MEMORIAL BEST
僕が死のうと思ったのは,6:20,中島美嘉,僕が死のうと思ったのは
String Tek,2:2,X-Ray Dog,New Music
Flight Of The Silverbird,3:21,Two Steps From Hell,Battlecry
僕が死のうと思ったのは/曾经我也想过一了百了（Cover 中岛美嘉）,6:16,芝麻Mochi,2017
ハレハレヤ,3:29,羽生まゐご,MEiSTER
Danuvius,2:37,Audiomachine,Chronicles
Holo,3:48,Ampyx,Holo
02的爱恋（Feat.约谈人参）（翻自 约谈人参）,2:45,多多poi,多多的02
HANNARI,3:26,BPM15Q,BPM15Q ALL SONGS
Flight,3:39,Tristam,Monstercat - The Best of 2013
桜ひらり,5:31,高野健一,桜ひらり
さくら,4:42,高野健一,さくら
lovely,3:20,Billie Eilish,Clean Pop Hits
Last of the Wilds,5:40,Nightwish,Dark Passion Play
さくら 〜あなたに出会えてよかった〜,5:1,RSP,さくら 〜あなたに出会えてよかった〜
マインドブランド,4:23,足首,Trope
Vision,4:14,Elektronomia,Vision
Electric Romeo,2:28,Immediate Music,Themes for Orchestra and Choir 2 - Abbey Road
Black Bird,3:44,たなか,hollow world
Light That Fire,2:19,Oh The Larceny,Oh the Larceny
Rags To Rings,2:27,Danny McCarthy,最新热歌慢摇76
Anything Goes! (「仮面ライダーオーズ/000」),3:31,大黒摩季,KAMEN RIDER BEST 2000-2011
狂々撫子,4:41,加藤有加利,PARALLEL WORLD ~episode.0~
AIWAGUMA,3:46,illion,UBU
Illusion,3:4,Matilda,Illusion
SOS,2:37,Avicii,Tropical Summer
雨き声残響 (カバー),2:43,すぃ,灯響プラグレス
Chemistry,3:17,Alistair Griffin,Albion Sky
Somebody That I Used To Know,4:5,Gotye,Making Mirrors
FAIRY TAIL メインテーマ,2:32,高梨康治,「FAIRY TAIL」ORIGINAL SOUNDTRACK VOL.1
盛唐游（Original Mix）,4:4,DancingLi0n舞狮,盛唐游
I Wish,3:34,Tom MacDonald,I Wish
Blowing in the Wind,2:46,Bob Dylan,Blowing in the Wind
Friendships,4:2,Pascal Letoublon,Friendships
Welcome to Planet Urf,2:14,英雄联盟,Welcome to Planet Urf
Heather X Eyes Blue (Lofi Version),3:0,Cosmic Sky,Heather X Eyes Blue (Lofi Version)
Eyes Blue Like The Atlantic,2:34,Sista Prod,Eyes Blue Like The Atlantic
Shadows,3:52,Janji,Shadows
Floating,4:33,Tobu,Floating
Here (Lucian Remix),3:27,Alessia Cara,Here (Lucian Remix)
鱼Jazzguitar/Lucky,1:4,辛辛君,Fish Jazzguitar ver
Pacific Rim (feat. Tom Morello),4:55,Ramin Djawadi,Pacific Rim (Original Motion Picture Soundtrack)
Fade,4:24,Alan Walker,Origins
My Ex Bitch Hates Me,2:59,Juice WRLD,My Ex ***** Hates Me
leaping through time,2:13,stream_error,leaping through time
Forever Gone,3:39,Acreix,Forever Gone
One More Time,3:31,MindlessFate,One More Time
Arcade,3:5,Duncan Laurence,Arcade
Sia-Dusk Till Dawn（Remix）（CokeCod remix）,3:6,7ouTp,Dusk Till Down（Remix）
Nova,3:13,Breathing Heavily,Nova
Sunflower Feelings,1:28,Kuzu Mellow,Sunflower Feelings
Life Goes On,2:41,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)"
Far Away,3:28,Kedam,Far Away
Crowded (Original Mix),3:12,TomLeevis,Crowded
Uh Oh Stinky,1:53,P R X D. Sen,Uh Oh Stinky
One Day (Hare Je Remix),3:28,Hare Je,Hare Je Remix
Saika,4:32,RABPIT,Deemo Official Soundtrack Vol.1
Aspiration,4:26,Teminite,Inception
Fractures,3:57,Nevve,Electric For Life Episode 117
Photo ID,4:25,Remi Wolf,I'm Allergic To Dogs!
Flash Funk,3:41,英雄联盟,Warsongs
Feel It,3:22,Axero,Feel It
Blame,3:34,Calvin Harris,Blame
Frontier (Cargo Remix),3:4,Cargo,Frontier (Cargo Remix)
それがあなたの幸せとしても (カバー),4:38,伊礼亮,灯響プラグレス
平行線,4:59,さユり,平行線
Dreams (Original Mix),3:40,Cjbeards,Dreams
また君と,4:8,JAY'ED,また君と
君に最後の口づけを,4:40,majiko,Contrast
Glistening,2:55,CelDro,Glistening
Starset,3:7,Cody Sorenson,Starset
STYX HELIX,4:51,MYTH & ROID,STYX HELIX
光るなら,4:14,Goose house,光るなら
Lift,3:12,Feint,最新热歌慢摇82
No Chance,4:9,Feint,One Last Time EP
Bad Ideas,2:59,Tessa Violet,Bad Ideas
Drown (Alle Farben Remix),2:49,Martin Garrix,Drown (feat. Clinton Kane) (Alle Farben Remix)
Possible Deaths,2:9,Typhoon,White Lighter
Teeth,3:24,5 Seconds of Summer,13 Reasons Why (Season 3)
Not Angry,3:19,Chris James,Not Angry
Let Me Down Slowly (Acoustic),2:41,Beth,"Acoustic Piano Hits, Vol. 1"
Lemon,4:16,米津玄師,Lemon
Play Date,2:58,Metrixx,Summer Hits 2020
(It's Not About) Running,4:6,Tuvaband,(It's Not About) Running
Summertime,4:45,K-391,Sunshine
Stray,3:46,Damon Empero,Stray
Forever,3:38,Martin Garrix,Forever
Delay,3:24,Itro,Delay
Realms,3:35,Hinkik,Realms
Pluto (Drop Tower Remix),3:15,Drop Tower,Pluto (Drop Tower Remix)
whatever it takes,3:37,convolk,whatever it takes
wish you were gay,3:41,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
デート2 (1n Cover),2:7,1n,Piano collection 1
Aware,4:32,Kontinuum,Aware
Falling for U,2:4,Peachy!,Falling for U
Scars To Your Beautiful,3:50,Alessia Cara,Know-It-All
Immortalize(Original Mix),3:18,Xi,Immortalize
Monody (Radio Edit),4:12,TheFatRat,Monody (Radio Edit)
I See You,3:48,Missio,I See You
Chance,3:33,Aspyer,Chance
Soaring (Original Mix),3:34,TomLeevis,Soaring
Fall Away,5:10,Feint,Fall Away EP
Sunfly Karaoke-This Is What You Came For【Retro】（Chave remix）,4:10,Lee,Retro sentiments
How Do I Love Thee?,1:12,Michael Hoppé,How Do I Love Thee?
Ringtone (MetroGnome Remix),3:18,MetroGnome,Ringtone (MetroGnome Remix)
Pneumatic Tokyo,3:49,EnV,Pneumatic Tokyo
Rehab (The Clarstone Remix),3:44,The Clarstone,Rehab (The Clarstone Remix)
天ノ弱 -うぃんぐPiano Ver.-,4:33,Akie秋绘,天ノ弱 -うぃんぐPiano Ver.-
Where The Hood At,4:53,DMX,Greatest Hits with a Twist - Deluxe Edition
絆,4:30,miu-clips,Rhythm of My Heart
YELL,6:17,Naomile,SWEETS HOUSE~for J-POP HIT COVERS COOKIE
This Must Be Hell (prod. Tau),2:6,VELVETEARS,Hikikomori
The Royal Wedding Song,2:42,MattyBRaps,The Royal Wedding Song
レントリリー（Cover 初音ミク）,3:27,熊子,レントリリー
Natural,3:8,Planet in Limbo,Say Amen
tired,1:24,vietra,tired
Shelter (Acoustic Cover),2:50,Shiki,Shelter
Crush,3:36,Tessa Violet,Crush
Panic Room (Acoustic),4:17,Au/Ra,Panic Room (Acoustic)
Geronimo (Jost & Damien Radio Mix),3:17,Aura Dione,Before the Dinosaurs
1965,3:37,Zella Day,1965
Winter Without You,3:11,Gloria Kim,Winter Without You
Poacher's Pride,2:19,Nicole Dollanganger,Natural Born Losers
Missing?,6:2,Emme Packer,Joy. The Machine.
Past Lives,2:33,sapientdream,Drowning
Lucky,3:20,Lenka,Lucky
ルミネセンス,5:5,ラブリーサマーちゃん,#ラブリーミュージック
Past Lives / Promise,2:33,sapientdream,Past Lives
Summer '17,3:48,christianalexnder,Summer '17
Busy and Important,2:43,Tom Rosenthal,Busy and Important
探し,3:33,N2V,探し
Ascension (Remix),3:41,MitiS,Ascension (MitiS Remix)
Ebb and Flow (5 years after remix),4:48,Tamame,Ebb and Flow (5 years after remix)
心拍数♯0822（翻自 初音ミク）,4:37,Akie秋绘,冬氤。2016-17
夏恋,4:26,Otokaze,夏恋
Drive（翻自 Oh Wonder）,3:14,Biscuits,Drive (Cover)
Stitches,3:26,Shawn Mendes,Handwritten (Deluxe)
打上花火（Cover DAOKO / 米津玄師）,4:47,Akie秋绘,打上花火
命に嫌われている。（Cover 初音ミク）,4:34,芝麻Mochi,命に嫌われている。
If We Have Each Other,3:1,Alec Benjamin,Narrated For You
夢燈籠 (R7CKY 你的名字 Mix),3:48,R7CKY,夢燈籠 (R7CKY 你的名字 Mix)
你的名字-你的名字-黄昏之时（Escaperz Bootleg ）（L1NO/HuaoH Remix）,3:41,HUAOH,你的名字-黄昏之时（Escaperz Bootleg）
Rescue Me,2:39,OneRepublic,Rescue Me
なんでもないや/没什么大不了 -Acoustic ver.-,5:45,夏璃夜,なんでもないや/没什么大不了 -Acoustic ver.-
打上花火,4:49,Daoko,打上花火
The Story Never Ends (Piano Version),3:49,Lauv,The Story Never Ends (Piano Version)
she was a pretty one,2:58,lanie ❀,she was a pretty one
PLANET,4:3,ラムジ,3ラムジ
Mona Lisa,2:37,VALNTN,Mona Lisa
Silver Scrapes,3:19,英雄联盟,最新热歌慢摇16
Xenogenesis,3:53,TheFatRat,Xenogenesis
I'll Be Waiting...,2:49,Pearl,I'll Be Waiting...
BLACK HISTORY,1:50,FoXLvis,BLACK HISTORY NO.1
Jay Hardway / MOTI / Babet - 半藏（Forwe兰斯 remix）,2:18,Forwe兰斯,双龙(Dragons)
生きていたんだよな,3:14,あいみょん,生きていたんだよな
我的世界已坠入爱河 acoustic ver.（Cover Chico）,5:37,东京塔子,Tawako日语
源氏(GenJi),3:35,Forwe兰斯,双龙(Dragons)
Azure Galaxy（苍蓝星系-伴奏）,3:22,DJ Soviet,Azure Galaxy [ HB.to巨蟹座们 ]
Away From,3:36,千坂,Away From
桜色舞うころ,4:48,徳永英明,VOCALIST 6
夢花火,4:24,まふまふ,刹那色シンドローム
Light Hope,3:57,浮云心丶,Light Hope
Instant,4:11,浮云心丶,Instant
Star Sky - Instrumental,5:34,Two Steps From Hell,Battlecry
Tobu - Life(RYLIA  Remix),3:17,RYLIA,Life（Remix/Remake）
The Colour Of My Dreams,5:1,Xwdit,The Colour Of My Dreams
Axero-River（Keega Remix）,3:36,Keega,River (Keega Bootleg)
Azure Galaxy-[Original Mix]-,3:22,DJ Soviet,Azure Galaxy [ HB.to巨蟹座们 ]
Sky High,3:56,Elektronomia,Sky High
Take Me Hand,4:19,DAISHI DANCE,WONDER Tourism
鏡花水月,4:31,まふまふ,プレリズムアーチ
○+●,3:30,kous,in focus-FResora-
Energy Drink,5:3,Virtual Riot,Energy Drink
深海少女,3:36,のぶなが,voices in a bottle ～海を越え届いた歌声～
ダヴィンチの告白,3:5,松下,松下が二次元に恋する15の理由 (通常盤)
Life,3:24,Tobu,Life
Tokyo Hot - 东京热（HOPE-T remix）,2:18,HOPE-T,别在爸妈面前听
自傷無色,3:38,花たん,最新热歌慢摇66
フラレガイガール,6:7,さユり,フラレガイガール-special edition
Don't You Worry Child,3:39,Swedish House Mafia,Electronic Dance Music Euphoria
Five Hours,5:26,Deorro,Five Hours
僕らの手には何もないけど、,4:12,RAM WIRE,僕らの手には何もないけど、
ハルノユキ,5:5,リリィ、さよなら。,リリィ、さよなら。
Ascent,4:34,Teminite,Uprising
心做し,4:28,双笙（陈元汐）,心做し
Shadow of the Sun,2:25,Max Elto,Taped Rai
Water,4:3,徐梦圆,Water
bravo,2:37,徐梦圆,E
Crazy Enough,3:11,Julie Bergan,Crazy Enough
Link,3:44,Jim Yosef,Link
アイロニ,4:8,H△G,声 ~VOCALOID Cover Album~
Rise,3:14,Jonas Blue,Rise
Man on a Mission,3:31,Oh The Larceny,Oh the Larceny
Floating [Original Mix(Krewella's Alive Vocal)],4:34,Tobu,最新热歌慢摇81
Beethoven Virus,3:41,Diana Boncheva,Beethoven Virus
女生徒,4:35,藤井久美,心象スケツチ
IA - アスノヨゾラ哨戒班（七人唱见双声道/ShakingHigh Remix）,2:58,ShakingHigh,アスノヨゾラ哨戒班（七人双声道/ShakingHigh Remix）
You & Jennifer,2:39,Bülow,Damaged Vol. 2
I Dont Sleep,1:43,Whize,I Dont Sleep
Shutterbug,3:18,Glenna,Shutterbug
I'm So Sorry,3:0,Hearts & Colors,I'm So Sorry
华山铭,3:33,路南,华山铭
旅立ちの序曲 ～OVERTURE:FAIRY TAIL メインテーマ～,2:31,高梨康治,劇場版『FAIRY TAIL-鳳凰の巫女-』オリジナル・サウンドトラック
Best of 2014: Problem / Boom Clap / Rude / Am I Wrong / All About That Bass / All of Me / Chandelier / Blank Space / Not a Bad Thing / Happy,3:23,Anthem Lights,Best Of 2007-2014 Medley
アスノヨゾラ哨戒班。明日的夜空哨戒班（Cover IA）,3:54,Akie秋绘,春雫。2017
Shotgun,2:54,Us The Duo,Shotgun
whole heart,1:10,m6ke,when in doubt
Sad!,2:46,XXXTENTACION,Sad!
comethru,3:1,Jeremy Zucker,"summer,"
It's You,3:32,Ali Gatie,It's You
Free Loop,3:52,Daniel Powter,"Cf, Movie & Drama Hits 广告，开麦拉！"
Glad You Came,3:15,Boyce Avenue,"Cover Sessions, Vol. 2"
I'll Follow (Acoustic Version),3:18,Fancy Cars,I'll Follow (Acoustic Version)
&burn,2:59,Billie Eilish,&burn
No,2:18,MADILYN,No
Out of Time (feat. Eric Lumiere) [Sagan Remix],3:20,Shane 54,Out of Time (feat. Eric Lumiere) [Sagan Remix]
Sold Out,3:33,Jonathan Steingard,Diamonds
Body,2:43,Loud Luxury,Body
Leyla,3:1,Mesto,Leyla
2 soon,3:26,keshi,2 soon
sleepyhead,2:23,submarine boy,sleepyhead
Bellyache (Marian Hill Remix),3:40,Billie Eilish,Bellyache (Marian Hill Remix)
Better Now,3:51,Post Malone,beerbongs & bentleys
Cradles,3:29,Sub Urban,Cradles
Better Not,3:42,Louis The Child,Better Not
Waiting For,3:5,Joakim Lundell,Feelings
Havana,3:36,Camila Cabello,Havana
Tonight Tonight,3:20,Hot Chelle Rae,Whatever
liability (demo),2:53,Tove Styrke,liability (demo)
I Knew You Were Trouble,3:52,MADILYN,"The Covers, Vol. 4"
Planez (Neon Tribe Remix),3:29,Neon Tribe,Planez (Neon Tribe Remix)
Meant To Be,3:28,Arc North,Meant To Be
Lil Mama,2:38,Jain,Zanaka
ME!,3:13,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco)
Home (Blaze U Remix Edit),3:3,ThimLife,Futuresque - The Future House Collection
A Thousand Years,4:45,Christina Perri,A Thousand Years
Renaissance,2:57,Steve James,Renaissance
bad guy,3:14,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
Pump It Up (Pit Bailay Mix),5:54,Glamrock Brothers,Pump It Up
Post Malone-Better Now 3（發條 remix）,3:21,發條,Better Now Than 1980s
Shots (Broiler Remix),3:11,Imagine Dragons,Shots (Broiler Remix)
Dancin (Krono Remix),3:17,Aaron Smith,DANCIN (KRONO REMIX)
Kill Em With Kindness,3:37,Selena Gomez,Revival (Deluxe Edition)
The Nights,2:56,Avicii,The Days / Nights (Remixes /EP)
GRRRLS,3:48,AViVA,GRRRLS
Mine,2:13,Bazzi,Mine
Hide,3:25,Juice WRLD,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
Sunflower,2:38,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
Scared of the Dark,3:53,Lil Wayne,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
Closer,3:44,Breathe Carolina,Closer
No Roots,3:57,Alice Merton,No Roots EP
By Your Side,3:21,RAYE,Crowd Pleasers
Run Free (Radio Edit),2:50,Deep Chills,Run Free
Young Hearts,3:16,BUNT.,Young Hearts
Wherever You Go,3:20,A Rocket to the Moon,Wild & Free
Мимими,3:46,Dramma,Мимими
Hymn for the Weekend (SeeB Remix),3:32,Coldplay,Hymn For The Weekend (Seeb Remix)
Pretty Girl (Cheat Codes X Cade Remix) (Aidan McCrae Future Bounce Refix),3:2,Aidan McCrae,Pretty Girl (Cheat Codes X Cade Remix) (Aidan McCrae Future Bounce Refix)
Hometown,3:7,Sheppard,Hometown
Talk,3:9,Why Don't We,Talk
The Phoenix,4:4,Fall Out Boy,Save Rock And Roll
Enemies,3:14,Lauv,I met you when I was 18. (the playlist)
Gladiator,3:8,Zayde Wølf,Gladiator
Monsters,3:37,Katie Sky,Monsters
you cried as loud as you could but nobody heard,4:7,WRAITH,they thought i was waving but i was really drowning
Toxins,3:16,Carlie Hanson,Toxins
Toxic,3:19,Britney Spears,Toxic
Close to You,3:5,Lucian,Close to You
Re:make,3:23,ONE OK ROCK,Re:make / NO SCARED
Airplane Mode (Instrumental),2:44,limbo,Airplane Mode
It Won't Kill Ya,3:37,The Chainsmokers,Memories...Do Not Open
No Money,3:9,Galantis,No Money
Roses,3:45,The Chainsmokers,Roses
